"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
320 0.134362517415155 3 5 "GO:0000014;GO:0004520;GO:0004536" "single-stranded DNA endodeoxyribonuclease activity" 0.463559805545748
-113 0.504686607602839 5 8 "GO:0000030" "mannosyltransferase activity" 0.783512361192125
-88 0.236189373091201 2 42 "GO:0000049" "tRNA binding" 0.532811466890227
-179 0.123148176998658 3 17 "GO:0000062;GO:0120227;GO:1901567;GO:1901681" "acyl-CoA binding" 0.462637746021985
179 0.052762556413777 5 27 "GO:0000146" "microfilament motor activity" 0.298915027719782
9 0.941167059517382 2 17 "GO:0000149" "SNARE binding" 0.991077433885728
135 0.348734483611837 4 11 "GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796" "exonuclease activity" 0.637817016079544
70 0.743659743003296 3 5 "GO:0000224" "peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity" 0.868644573760152
25 0.786433461967768 3 27 "GO:0000287" "magnesium ion binding" 0.890252549787646
-117 0.518583721076802 2 7 "GO:0000339" "RNA cap binding" 0.783512361192125
-83 0.698708537933435 3 5 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.860746584348158
47 0.48850695742004 5 51 "GO:0000976;GO:0001067;GO:1990837;GO:0003690;GO:0043565" "double-stranded DNA binding" 0.771618944106654
91 0.309458863324838 3 29 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.605842000030317
125 0.210814908905586 2 23 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.523272720319222
85 0.614412837864314 3 8 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.812264235484089
184 0.307694101054126 3 7 "GO:0000993;GO:0043175;GO:0070063" "RNA polymerase core enzyme binding" 0.605842000030317
149 0.326188860187528 3 10 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.621099336521457
156 0.466808848762892 4 5 "GO:0001221" "transcription coregulator binding" 0.747671071923656
-131 0.220857691557645 2 20 "GO:0001530" "lipopolysaccharide binding" 0.532811466890227
1 0.995208760544298 2 26 "GO:0001540;GO:0042277" "peptide binding" 0.995208760544298
-340 0.0447923582894361 2 8 "GO:0001618;GO:0140272" "virus receptor activity" 0.298915027719782
46 0.8127214523808 2 6 "GO:0001664" "G protein-coupled receptor binding" 0.911034531297832
-256 0.129567804328023 2 8 "GO:0001671" "ATPase activator activity" 0.463559805545748
-111 0.441461058889668 3 11 "GO:0001786;GO:0005543;GO:0072341" "phospholipid binding" 0.739314303441733
154 0.43127669280046 3 6 "GO:0001968" "fibronectin binding" 0.739314303441733
-292 0.0537616956330543 3 10 "GO:0002020" "protease binding" 0.298915027719782
76 0.0944766676532199 3 120 "GO:0003677" "DNA binding" 0.410383025118674
200 0.185709206162406 2 10 "GO:0003682" "chromatin binding" 0.496414993395662
6 0.953207632134765 2 20 "GO:0003700" "DNA-binding transcription factor activity" 0.995208760544298
-59 0.583754986145727 2 20 "GO:0003712" "transcription coregulator activity" 0.812264235484089
-71 0.740113946865982 3 5 "GO:0003714" "transcription corepressor activity" 0.868644573760152
-82 0.0287738786826872 3 183 "GO:0003723" "RNA binding" 0.266637942459568
-86 0.252602902722707 2 41 "GO:0003735" "structural constituent of ribosome" 0.55733021394375
40 0.851505067449731 3 5 "GO:0003746" "translation elongation factor activity" 0.944614422216414
-423 0.000973135615099902 3 14 "GO:0003756;GO:0016864;GO:0016860;GO:0016853" "isomerase activity" 0.0507938720314522
204 0.00747035513194126 3 40 "GO:0003774" "motor activity" 0.119046783785581
194 0.199081368460756 4 10 "GO:0003777" "microtubule motor activity" 0.503132913019002
100 0.197902353568601 4 39 "GO:0003779;GO:0008092" "actin binding" 0.503132913019002
170 0.113761404476387 3 20 "GO:0003924" "GTPase activity" 0.462637746021985
-200 0.306477982878361 2 6 "GO:0003954" "NADH dehydrogenase activity" 0.605842000030317
-74 0.165922506234136 3 83 "GO:0004175" "endopeptidase activity" 0.484747165859122
82 0.554180844159773 2 12 "GO:0004177" "aminopeptidase activity" 0.802407680606338
67 0.643834632348612 2 11 "GO:0004180" "carboxypeptidase activity" 0.828639017559788
-142 0.401248645657204 2 8 "GO:0004197;GO:0008234" "cysteine-type endopeptidase activity" 0.70599445248546
-156 0.0531880423426887 5 36 "GO:0004222;GO:0008237" "metallopeptidase activity" 0.298915027719782
32 0.756871909069772 2 22 "GO:0004252;GO:0008236;GO:0017171" "serine-type endopeptidase activity" 0.876709961339153
-283 0.0620011692027182 2 10 "GO:0004364" "glutathione transferase activity" 0.331467789199147
-225 0.0463986392360396 2 18 "GO:0004497" "monooxygenase activity" 0.298915027719782
262 0.00770806513719591 3 24 "GO:0004518" "nuclease activity" 0.119046783785581
418 0.00582629301399312 4 10 "GO:0004519" "endonuclease activity" 0.115693532706435
134 0.278447742415937 3 15 "GO:0004540" "ribonuclease activity" 0.595449787627927
-14 0.89274405269138 3 23 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.961949018016293
